Country Name,"Country Code","Series Name","Series Code","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
Afghanistan,"AFG","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","-23.0875082568557",""
Albania,"ALB","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","10.1516160917617","12.9834053809075","8.39197754108407","9.56528279791658","4.14134437326601","6.08345582225883","5.65389584071299","5.68989911118751","7.52022858483932","6.63641852393975","5.98941576905285","1.91372526424519","4.82573621976985","3.88598411827481","0.810533944065256","3.64893088702274","1.20025997292129","2.7767625338598","3.8974284004627","2.54368729470313","3.90993763833178","1.34738298905842","-3.06219376238298","10.1816495197541",""
Algeria,"DZA","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","3.97947400951023","1.36739995643683","1.58259176371236","3.13600542086931","3.45638266663705","5.81627566235736","2.32666564243189","3.40183065804641","0.917614532723348","4.12353513443399","1.17248973531079","-0.3338762542692","2.3079687435751","0.232264027988222","1.11713199142942","0.133466776495524","1.54224388062276","1.64172781303652","2.55821552933084","-1.15009670732437","-1.67784733129045","-0.738069134018232","-6.32985851618585","1.76993821713454","1.00406411401511"
American Samoa,"ASM","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","",""
Andorra,"AND","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,"AGO","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","0.505589197408725","5.22788416173464","9.24824996183085","5.12947947618537","12.1705529736796","2.23095652616149","7.9463872694302","-1.55650524939183","-0.420815126502958","5.62792506858794","2.53416186646336","2.89361822147897","-0.857617481763711","-6.40945445219072","-4.70275168409519","-6.92838244675872","-6.55217063999135","-6.84611689460296","-2.46343079392257","0.638028865091968"
Antigua and Barbuda,"ATG","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","",""
Armenia,"ARM","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","5.24084795169047","4.29301800331045","7.07255789688503","10.7066353619599","14.7940995692626","14.7377245481206","11.9954460199406","14.661254305093","14.5367187334386","15.3822876165173","8.24755290979455","-15.2783751814209","3.60152219123803","3.94321036189733","8.34809560977907","5.76869366271733","2.39464950930284","3.08635625229741","-0.937592614389402","9.24131685143597","3.93265193825488","7.89671417793303","-9.22873511983795","4.88948072999204","11.3905808243053"
Aruba,"ABW","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","",""
Austria,"AUT","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","3.27734962721644","2.01248907611802","3.47834163718355","0.29680479467973","2.16642041616562","0.635610253638234","2.17774691969895","1.13829918428523","3.26452320601986","2.84145466072138","1.49123470237005","-4.18516869895214","1.50570556549772","1.11465071232548","-0.445837748426854","-0.494182253934099","0.179498367486147","-0.51224846919699","2.31140111227796","0.00457023541729029","1.70079595323602","1.28206466043643","-5.37605693513984","3.86521875506031","-0.0528376444695198"
Azerbaijan,"AZE","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","9.30364963506116","9.05762451771788","5.90673633072531","8.4958852663289","8.05285683517734","8.93699085032451","5.73246781034307","18.2194648765819","29.772686942574","19.016136975033","14.2947249703679","13.6988203669336","5.72833116226784","-3.11280306130386","2.51890939212626","","","","","","","","","",""
"Bahamas, The","BHS","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","2.3147149347009","6.97422371673807","2.50980971689832","0.541603122356264","1.5401125979845","-2.13078957130941","-0.21305047759023","1.62539637705537","0.877497917735013","-0.0793322757747035","-2.10103308164135","-6.28866590221199","-0.646658521706144","-0.587181830653023","1.79699864042084","-3.97712786618246","-0.215522037600309","-0.346102345850809","-2.16413496871779","2.00787789020364","-0.048554704087806","0.514607838905576","-24.2928121035268","17.8257700343461","13.0987188170411"
Bahrain,"BHR","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","-1.04902066551725","-0.31881566337529","2.83021057537383","0.000106966108901929","-0.106166680009068","-0.796543848942775","1.62272040251274","-2.80857249900535","-9.49431193162681","1.84826572954474","-3.46492314049409","15.6064073288188","1.75615839026774","-0.753509153962511","-1.54491503867585","0.186725959701533","0.729605332940267","0.0851837877786892","1.36875871111917","-4.43176584830445","4.41434504167492",""
